"Four-Year Graduation Rates, 2011-12"
"All Districts, High Needs Status"

"",,,"Non-Graduates",,,
"District","High Needs Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","High Needs","*","*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*"
"Ansonia School District","High Needs",142,"*","*","*","*"
"Ansonia School District","Non-High Needs",63,"*","*","*","*"
"Avon School District","High Needs",46,"*","*","*","*"
"Avon School District","Non-High Needs",239,"*","*","*","*"
"Berlin School District","High Needs",65,"*","*","*","*"
"Berlin School District","Non-High Needs",198,"*","*","*","*"
"Bethel School District","High Needs",59,"*","*","*","*"
"Bethel School District","Non-High Needs",180,"*","*","*","*"
"Bloomfield School District","High Needs",122,"*","*","*","*"
"Bloomfield School District","Non-High Needs",74,"*","*","*","*"
"Bolton School District","High Needs",15,"*","*","*","*"
"Bolton School District","Non-High Needs",58,"*","*","*","*"
"Branford School District","High Needs",87,"*","*","*","*"
"Branford School District","Non-High Needs",171,"*","*","*","*"
"Bridgeport School District","High Needs","*","*","*","*","*"
"Bridgeport School District","Non-High Needs","*","*","*","*","*"
"Bristol School District","High Needs",291,32,11.0,42,14.4
"Bristol School District","Non-High Needs",340,9,2.6,11,3.2
"Brookfield School District","High Needs",32,"*","*","*","*"
"Brookfield School District","Non-High Needs",222,"*","*","*","*"
"Canton School District","High Needs",17,"*","*","*","*"
"Canton School District","Non-High Needs",102,"*","*","*","*"
"Capitol Region Education Council","High Needs",220,"*","*",35,15.9
"Capitol Region Education Council","Non-High Needs",115,"*","*",13,11.3
"Cheshire School District","High Needs",87,"*","*","*","*"
"Cheshire School District","Non-High Needs",324,"*","*","*","*"
"Clinton School District","High Needs",33,"*","*","*","*"
"Clinton School District","Non-High Needs",90,"*","*","*","*"
"Colchester School District","High Needs",65,"*","*","*","*"
"Colchester School District","Non-High Needs",181,"*","*","*","*"
"Common Ground High School District","High Needs",25,"*","*","*","*"
"Common Ground High School District","Non-High Needs",6,"*","*","*","*"
"Connecticut Technical High School System","High Needs",1546,"*","*",69,4.5
"Connecticut Technical High School System","Non-High Needs",985,"*","*",27,2.7
"Coventry School District","High Needs",49,"*","*","*","*"
"Coventry School District","Non-High Needs",104,"*","*","*","*"
"Cromwell School District","High Needs",49,"*","*","*","*"
"Cromwell School District","Non-High Needs",103,"*","*","*","*"
"Danbury School District","High Needs",407,78,19.2,64,15.7
"Danbury School District","Non-High Needs",350,14,4.0,20,5.7
"Darien School District","High Needs",52,"*","*","*","*"
"Darien School District","Non-High Needs",259,"*","*","*","*"
"Derby School District","High Needs",66,"*","*","*","*"
"Derby School District","Non-High Needs",40,"*","*","*","*"
"East Granby School District","High Needs",11,"*","*","*","*"
"East Granby School District","Non-High Needs",50,"*","*","*","*"
"East Haddam School District","High Needs",26,"*","*","*","*"
"East Haddam School District","Non-High Needs",76,"*","*","*","*"
"East Hampton School District","High Needs",31,"*","*","*","*"
"East Hampton School District","Non-High Needs",134,"*","*","*","*"
"East Hartford School District","High Needs",445,"*","*",71,16.0
"East Hartford School District","Non-High Needs",146,"*","*",10,6.8
"East Haven School District","High Needs",136,"*","*",34,25.0
"East Haven School District","Non-High Needs",94,"*","*",11,11.7
"East Lyme School District","High Needs",83,"*","*","*","*"
"East Lyme School District","Non-High Needs",220,"*","*","*","*"
"East Windsor School District","High Needs",37,"*","*","*","*"
"East Windsor School District","Non-High Needs",52,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",45,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",41,"*","*","*","*"
"Ellington School District","High Needs",37,"*","*","*","*"
"Ellington School District","Non-High Needs",166,"*","*","*","*"
"Elm City College Preparatory School District","High Needs","*","*","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*","*","*"
"Enfield School District","High Needs",192,22,11.5,37,19.3
"Enfield School District","Non-High Needs",320,8,2.5,9,2.8
"Explorations District","High Needs",20,"*","*","*","*"
"Explorations District","Non-High Needs",8,"*","*","*","*"
"Fairfield School District","High Needs",162,15,9.3,12,7.4
"Fairfield School District","Non-High Needs",528,7,1.3,6,1.1
"Farmington School District","High Needs",60,"*","*","*","*"
"Farmington School District","Non-High Needs",244,"*","*","*","*"
"Glastonbury School District","High Needs",99,"*","*","*","*"
"Glastonbury School District","Non-High Needs",413,"*","*","*","*"
"Granby School District","High Needs",30,"*","*","*","*"
"Granby School District","Non-High Needs",159,"*","*","*","*"
"Greenwich School District","High Needs",194,22,11.3,9,4.6
"Greenwich School District","Non-High Needs",452,6,1.3,13,2.9
"Griswold School District","High Needs",82,"*","*","*","*"
"Griswold School District","Non-High Needs",102,"*","*","*","*"
"Groton School District","High Needs",162,"*","*",33,20.4
"Groton School District","Non-High Needs",183,"*","*",17,9.3
"Guilford School District","High Needs",60,"*","*","*","*"
"Guilford School District","Non-High Needs",227,"*","*","*","*"
"Hamden School District","High Needs",272,30,11.0,36,13.2
"Hamden School District","Non-High Needs",251,7,2.8,9,3.6
"Hartford School District","High Needs",1301,"*","*","*","*"
"Hartford School District","Non-High Needs",95,"*","*","*","*"
"Killingly School District","High Needs",107,"*","*","*","*"
"Killingly School District","Non-High Needs",84,"*","*","*","*"
"Lebanon School District","High Needs",29,"*","*","*","*"
"Lebanon School District","Non-High Needs",103,"*","*","*","*"
"Ledyard School District","High Needs",56,"*","*","*","*"
"Ledyard School District","Non-High Needs",156,"*","*","*","*"
"Lisbon School District","High Needs","*","*","*","*","*"
"Lisbon School District","Non-High Needs","*","*","*","*","*"
"Litchfield School District","High Needs",19,"*","*","*","*"
"Litchfield School District","Non-High Needs",84,"*","*","*","*"
"Madison School District","High Needs",58,"*","*","*","*"
"Madison School District","Non-High Needs",277,"*","*","*","*"
"Manchester School District","High Needs",329,43,13.1,73,22.2
"Manchester School District","Non-High Needs",189,7,3.7,16,8.5
"Meriden School District","High Needs",447,"*","*",125,28.0
