"Four-Year Graduation Rates, 2014-15"
"All Districts, High Needs Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*","*","*"
"Ansonia School District","High Needs",137,110,80.3,"*","*","*","*"
"Ansonia School District","Non-High Needs",35,34,97.1,"*","*","*","*"
"Avon School District","High Needs",48,42,87.5,"*","*","*","*"
"Avon School District","Non-High Needs",200,196,98.0,"*","*","*","*"
"Berlin School District","High Needs",56,46,82.1,"*","*","*","*"
"Berlin School District","Non-High Needs",154,151,98.1,"*","*","*","*"
"Bethel School District","High Needs",77,69,89.6,"*","*","*","*"
"Bethel School District","Non-High Needs",141,140,99.3,"*","*","*","*"
"Bloomfield School District","High Needs",121,100,82.6,"*","*","*","*"
"Bloomfield School District","Non-High Needs",55,54,98.2,"*","*","*","*"
"Bolton School District","High Needs",20,17,85.0,"*","*","*","*"
"Bolton School District","Non-High Needs",56,56,100.0,"*","*","*","*"
"Branford School District","High Needs",85,66,77.6,"*","*",8,9.4
"Branford School District","Non-High Needs",168,162,96.4,"*","*",6,3.6
"Bridgeport Achievement First District","High Needs","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","Non-High Needs","*","*","*","*","*","*","*"
"Bridgeport School District","High Needs","*","*","*","*","*","*","*"
"Bridgeport School District","Non-High Needs","*","*","*","*","*","*","*"
"Bristol School District","High Needs",363,254,70.0,"*","*",72,19.8
"Bristol School District","Non-High Needs",284,272,95.8,"*","*",9,3.2
"Brookfield School District","High Needs",46,40,87.0,"*","*","*","*"
"Brookfield School District","Non-High Needs",189,184,97.4,"*","*","*","*"
"Canton School District","High Needs",26,22,84.6,"*","*","*","*"
"Canton School District","Non-High Needs",106,104,98.1,"*","*","*","*"
"Capitol Region Education Council","High Needs",193,166,86.0,"*","*","*","*"
"Capitol Region Education Council","Non-High Needs",130,126,96.9,"*","*","*","*"
"Cheshire School District","High Needs",77,66,85.7,"*","*","*","*"
"Cheshire School District","Non-High Needs",315,315,100.0,"*","*","*","*"
"Clinton School District","High Needs",51,39,76.5,"*","*","*","*"
"Clinton School District","Non-High Needs",111,107,96.4,"*","*","*","*"
"Colchester School District","High Needs",69,57,82.6,"*","*","*","*"
"Colchester School District","Non-High Needs",159,153,96.2,"*","*","*","*"
"Common Ground High School District","High Needs",25,25,100.0,"*","*","*","*"
"Common Ground High School District","Non-High Needs",12,12,100.0,"*","*","*","*"
"Connecticut Technical High School System","High Needs",1605,1557,97.0,"*","*",40,2.5
"Connecticut Technical High School System","Non-High Needs",863,847,98.1,"*","*",15,1.7
"Coventry School District","High Needs",38,30,78.9,"*","*","*","*"
"Coventry School District","Non-High Needs",79,79,100.0,"*","*","*","*"
"Cromwell School District","High Needs",37,32,86.5,"*","*","*","*"
"Cromwell School District","Non-High Needs",91,91,100.0,"*","*","*","*"
"Danbury School District","High Needs",490,328,66.9,"*","*",86,17.6
"Danbury School District","Non-High Needs",282,267,94.7,"*","*",11,3.9
"Darien School District","High Needs",47,40,85.1,"*","*","*","*"
"Darien School District","Non-High Needs",287,283,98.6,"*","*","*","*"
"Derby School District","High Needs",76,60,78.9,"*","*","*","*"
"Derby School District","Non-High Needs",26,25,96.2,"*","*","*","*"
"East Granby School District","High Needs",10,10,100.0,"*","*","*","*"
"East Granby School District","Non-High Needs",51,51,100.0,"*","*","*","*"
"East Haddam School District","High Needs",34,25,73.5,"*","*","*","*"
"East Haddam School District","Non-High Needs",79,77,97.5,"*","*","*","*"
"East Hampton School District","High Needs",29,23,79.3,"*","*","*","*"
"East Hampton School District","Non-High Needs",98,97,99.0,"*","*","*","*"
"East Hartford School District","High Needs",443,381,86.0,"*","*","*","*"
"East Hartford School District","Non-High Needs",123,117,95.1,"*","*","*","*"
"East Haven School District","High Needs",155,100,64.5,"*","*","*","*"
"East Haven School District","Non-High Needs",89,84,94.4,"*","*","*","*"
"East Lyme School District","High Needs",66,54,81.8,"*","*","*","*"
"East Lyme School District","Non-High Needs",208,206,99.0,"*","*","*","*"
"East Windsor School District","High Needs",48,39,81.3,"*","*","*","*"
"East Windsor School District","Non-High Needs",42,39,92.9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",43,32,74.4,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",29,22,75.9,"*","*","*","*"
"Ellington School District","High Needs",56,50,89.3,"*","*","*","*"
"Ellington School District","Non-High Needs",150,150,100.0,"*","*","*","*"
"Elm City College Preparatory School District","High Needs","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*","*","*","*","*"
"Enfield School District","High Needs",167,128,76.6,"*","*",26,15.6
"Enfield School District","Non-High Needs",225,212,94.2,"*","*",11,4.9
"Explorations District","High Needs",16,13,81.3,"*","*","*","*"
"Explorations District","Non-High Needs",7,7,100.0,"*","*","*","*"
"Fairfield School District","High Needs",182,149,81.9,"*","*","*","*"
"Fairfield School District","Non-High Needs",535,526,98.3,"*","*","*","*"
"Farmington School District","High Needs",75,62,82.7,"*","*","*","*"
"Farmington School District","Non-High Needs",260,259,99.6,"*","*","*","*"
"Glastonbury School District","High Needs",109,100,91.7,"*","*","*","*"
"Glastonbury School District","Non-High Needs",415,412,99.3,"*","*","*","*"
"Granby School District","High Needs",30,28,93.3,"*","*","*","*"
"Granby School District","Non-High Needs",135,133,98.5,"*","*","*","*"
"Greenwich School District","High Needs",191,164,85.9,"*","*","*","*"
"Greenwich School District","Non-High Needs",456,452,99.1,"*","*","*","*"
"Griswold School District","High Needs",69,54,78.3,"*","*","*","*"
"Griswold School District","Non-High Needs",79,77,97.5,"*","*","*","*"
"Groton School District","High Needs",144,115,79.9,"*","*","*","*"
"Groton School District","Non-High Needs",128,123,96.1,"*","*","*","*"
"Guilford School District","High Needs",64,53,82.8,"*","*","*","*"
"Guilford School District","Non-High Needs",210,207,98.6,"*","*","*","*"
"Hamden School District","High Needs",262,211,80.5,"*","*","*","*"
"Hamden School District","Non-High Needs",203,200,98.5,"*","*","*","*"
"Hartford School District","High Needs",1323,889,67.2,"*","*",263,19.9
"Hartford School District","Non-High Needs",161,152,94.4,"*","*",8,5.0
"Killingly School District","High Needs",108,65,60.2,"*","*","*","*"
"Killingly School District","Non-High Needs",95,91,95.8,"*","*","*","*"
"Learn","High Needs",110,97,88.2,"*","*","*","*"
"Learn","Non-High Needs",66,60,90.9,"*","*","*","*"
"Lebanon School District","High Needs",27,23,85.2,"*","*","*","*"
"Lebanon School District","Non-High Needs",68,67,98.5,"*","*","*","*"
"Ledyard School District","High Needs",86,71,82.6,"*","*","*","*"
"Ledyard School District","Non-High Needs",147,145,98.6,"*","*","*","*"
"Litchfield School District","High Needs",21,21,100.0,"*","*","*","*"
"Litchfield School District","Non-High Needs",49,49,100.0,"*","*","*","*"
"Madison School District","High Needs",55,53,96.4,"*","*","*","*"
"Madison School District","Non-High Needs",254,252,99.2,"*","*","*","*"
"Manchester School District","High Needs",303,222,73.3,"*","*","*","*"
"Manchester School District","Non-High Needs",151,145,96.0,"*","*","*","*"
"Meriden School District","High Needs",483,334,69.2,"*","*",104,21.5
"Meriden School District","Non-High Needs",143,129,90.2,"*","*",10,7.0
"Middletown School District","High Needs",180,148,82.2,"*","*","*","*"
"Middletown School District","Non-High Needs",135,130,96.3,"*","*","*","*"
"Milford School District","High Needs",177,143,80.8,"*","*","*","*"
"Milford School District","Non-High Needs",282,274,97.2,"*","*","*","*"
"Monroe School District","High Needs",61,53,86.9,"*","*","*","*"
"Monroe School District","Non-High Needs",260,260,100.0,"*","*","*","*"
"Montville School District","High Needs",71,59,83.1,"*","*","*","*"
"Montville School District","Non-High Needs",108,108,100.0,"*","*","*","*"
"Naugatuck School District","High Needs",221,180,81.4,"*","*","*","*"
"Naugatuck School District","Non-High Needs",116,108,93.1,"*","*","*","*"
"New Britain School District","High Needs",579,380,65.6,"*","*","*","*"
"New Britain School District","Non-High Needs",81,73,90.1,"*","*","*","*"
"New Canaan School District","High Needs",40,37,92.5,"*","*","*","*"
"New Canaan School District","Non-High Needs",267,267,100.0,"*","*","*","*"
"New Fairfield School District","High Needs",56,54,96.4,"*","*","*","*"
"New Fairfield School District","Non-High Needs",208,207,99.5,"*","*","*","*"
"New Haven School District","High Needs",1297,958,73.9,"*","*",224,17.3
"New Haven School District","Non-High Needs",188,157,83.5,"*","*",27,14.4
"New London School District","High Needs",196,"*","*","*","*","*","*"
"New London School District","Non-High Needs",6,"*","*","*","*","*","*"
"New Milford School District","High Needs",121,90,74.4,"*","*","*","*"
"New Milford School District","Non-High Needs",250,245,98.0,"*","*","*","*"
