"Four-Year Graduation Rates, 2013-14"
"All Districts, High Needs Status"

"",,,"Graduates",
"District","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","High Needs","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*"
"Ansonia School District","High Needs",113,80,70.8
"Ansonia School District","Non-High Needs",44,40,90.9
"Avon School District","High Needs",44,39,88.6
"Avon School District","Non-High Needs",228,226,99.1
"Berlin School District","High Needs",62,52,83.9
"Berlin School District","Non-High Needs",173,171,98.8
"Bethel School District","High Needs",81,68,84.0
"Bethel School District","Non-High Needs",163,158,96.9
"Bloomfield School District","High Needs",120,104,86.7
"Bloomfield School District","Non-High Needs",49,44,89.8
"Bolton School District","High Needs",18,12,66.7
"Bolton School District","Non-High Needs",85,85,100.0
"Branford School District","High Needs",112,91,81.3
"Branford School District","Non-High Needs",187,181,96.8
"Bridgeport School District","High Needs","*","*","*"
"Bridgeport School District","Non-High Needs","*","*","*"
"Bristol School District","High Needs",342,241,70.5
"Bristol School District","Non-High Needs",357,331,92.7
"Brookfield School District","High Needs",46,41,89.1
"Brookfield School District","Non-High Needs",186,184,98.9
"Canton School District","High Needs",24,19,79.2
"Canton School District","Non-High Needs",112,109,97.3
"Capitol Region Education Council","High Needs",197,171,86.8
"Capitol Region Education Council","Non-High Needs",120,110,91.7
"Cheshire School District","High Needs",91,74,81.3
"Cheshire School District","Non-High Needs",298,297,99.7
"Clinton School District","High Needs",31,25,80.6
"Clinton School District","Non-High Needs",102,98,96.1
"Colchester School District","High Needs",58,50,86.2
"Colchester School District","Non-High Needs",190,187,98.4
"Common Ground High School District","High Needs",22,19,86.4
"Common Ground High School District","Non-High Needs",7,7,100.0
"Connecticut Technical High School System","High Needs",1525,1455,95.4
"Connecticut Technical High School System","Non-High Needs",898,874,97.3
"Coventry School District","High Needs",35,30,85.7
"Coventry School District","Non-High Needs",98,98,100.0
"Cromwell School District","High Needs",37,25,67.6
"Cromwell School District","Non-High Needs",97,97,100.0
"Danbury School District","High Needs",453,306,67.5
"Danbury School District","Non-High Needs",308,288,93.5
"Darien School District","High Needs",64,55,85.9
"Darien School District","Non-High Needs",272,270,99.3
"Department of Mental Health and Addiction Services","High Needs","*","*","*"
"Derby School District","High Needs",66,50,75.8
"Derby School District","Non-High Needs",36,33,91.7
"East Granby School District","High Needs",11,6,54.5
"East Granby School District","Non-High Needs",55,54,98.2
"East Haddam School District","High Needs",34,27,79.4
"East Haddam School District","Non-High Needs",71,71,100.0
"East Hampton School District","High Needs",20,16,80.0
"East Hampton School District","Non-High Needs",101,101,100.0
"East Hartford School District","High Needs",403,304,75.4
"East Hartford School District","Non-High Needs",104,93,89.4
"East Haven School District","High Needs",155,111,71.6
"East Haven School District","Non-High Needs",105,99,94.3
"East Lyme School District","High Needs",64,49,76.6
"East Lyme School District","Non-High Needs",210,207,98.6
"East Windsor School District","High Needs",53,45,84.9
"East Windsor School District","Non-High Needs",56,52,92.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",40,29,72.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",26,20,76.9
"Ellington School District","High Needs",41,36,87.8
"Ellington School District","Non-High Needs",153,149,97.4
"Elm City College Preparatory School District","High Needs","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*"
"Enfield School District","High Needs",173,130,75.1
"Enfield School District","Non-High Needs",251,236,94.0
"Explorations District","High Needs","*","*","*"
"Explorations District","Non-High Needs","*","*","*"
"Fairfield School District","High Needs",170,134,78.8
"Fairfield School District","Non-High Needs",558,549,98.4
"Farmington School District","High Needs",69,56,81.2
"Farmington School District","Non-High Needs",275,272,98.9
"Glastonbury School District","High Needs",125,104,83.2
"Glastonbury School District","Non-High Needs",460,458,99.6
"Granby School District","High Needs",41,32,78.0
"Granby School District","Non-High Needs",164,162,98.8
"Greenwich School District","High Needs",203,178,87.7
"Greenwich School District","Non-High Needs",467,459,98.3
"Griswold School District","High Needs",89,65,73.0
"Griswold School District","Non-High Needs",81,79,97.5
"Groton School District","High Needs",170,131,77.1
"Groton School District","Non-High Needs",147,138,93.9
"Guilford School District","High Needs",71,53,74.6
"Guilford School District","Non-High Needs",215,212,98.6
"Hamden School District","High Needs",229,184,80.3
"Hamden School District","Non-High Needs",229,224,97.8
"Hartford School District","High Needs",1259,876,69.6
"Hartford School District","Non-High Needs",111,104,93.7
"Killingly School District","High Needs",116,81,69.8
"Killingly School District","Non-High Needs",102,95,93.1
"Learn","High Needs",93,82,88.2
"Learn","Non-High Needs",60,59,98.3
"Lebanon School District","High Needs",27,23,85.2
"Lebanon School District","Non-High Needs",78,75,96.2
"Ledyard School District","High Needs",97,76,78.4
"Ledyard School District","Non-High Needs",150,148,98.7
"Lisbon School District","High Needs","*","*","*"
"Lisbon School District","Non-High Needs","*","*","*"
"Litchfield School District","High Needs",9,7,77.8
"Litchfield School District","Non-High Needs",60,57,95.0
"Madison School District","High Needs",58,52,89.7
"Madison School District","Non-High Needs",262,258,98.5
"Manchester School District","High Needs",281,206,73.3
"Manchester School District","Non-High Needs",173,167,96.5
"Meriden School District","High Needs",448,313,69.9
"Meriden School District","Non-High Needs",167,155,92.8
"Middletown School District","High Needs",176,124,70.5
"Middletown School District","Non-High Needs",158,152,96.2
"Milford School District","High Needs",182,149,81.9
"Milford School District","Non-High Needs",326,319,97.9
"Monroe School District","High Needs",71,64,90.1
"Monroe School District","Non-High Needs",229,225,98.3
"Montville School District","High Needs",83,67,80.7
"Montville School District","Non-High Needs",110,104,94.5
"Naugatuck School District","High Needs",196,148,75.5
"Naugatuck School District","Non-High Needs",137,125,91.2
"New Britain School District","High Needs",556,332,59.7
"New Britain School District","Non-High Needs",100,85,85.0
"New Canaan School District","High Needs",36,32,88.9
"New Canaan School District","Non-High Needs",276,275,99.6
"New Fairfield School District","High Needs",49,43,87.8
"New Fairfield School District","Non-High Needs",190,188,98.9
"New Haven School District","High Needs",1160,856,73.8
"New Haven School District","Non-High Needs",149,132,88.6
"New London School District","High Needs","*","*","*"
"New London School District","Non-High Needs","*","*","*"
"New Milford School District","High Needs",103,74,71.8
"New Milford School District","Non-High Needs",280,270,96.4
"Newington School District","High Needs",116,93,80.2
"Newington School District","Non-High Needs",248,245,98.8
"Newtown School District","High Needs",71,58,81.7
"Newtown School District","Non-High Needs",352,351,99.7
"North Branford School District","High Needs",51,42,82.4
"North Branford School District","Non-High Needs",99,94,94.9
"North Haven School District","High Needs",85,59,69.4
"North Haven School District","Non-High Needs",235,224,95.3
"North Stonington School District","High Needs",17,16,94.1
"North Stonington School District","Non-High Needs",39,38,97.4
"Norwalk School District","High Needs",467,351,75.2
"Norwalk School District","Non-High Needs",355,338,95.2
