"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Connecticut","9","2010-2011","Non-High Needs","Total Cohort Count","Number",29335
"Connecticut","9","2010-2011","Non-High Needs","Four Year Graduation Count","Number",27101
"Connecticut","9","2011-2012","Non-High Needs","Total Cohort Count","Number",24041
"Connecticut","9","2012-2013","Non-High Needs","Total Cohort Count","Number",23659
"Connecticut","9","2011-2012","Non-High Needs","Four Year Graduation Count","Number",23059
"Connecticut","9","2013-2014","Non-High Needs","Total Cohort Count","Number",22981
"Connecticut","9","2018-2019","High Needs","Total Cohort Count","Number",22898
"Connecticut","9","2017-2018","Non-High Needs","Total Cohort Count","Number",22856
"Connecticut","9","2012-2013","Non-High Needs","Four Year Graduation Count","Number",22824
"Connecticut","9","2013-2014","Non-High Needs","Four Year Graduation Count","Number",22316
"Connecticut","9","2017-2018","Non-High Needs","Four Year Graduation Count","Number",22224
"Connecticut","9","2014-2015","Non-High Needs","Total Cohort Count","Number",21839
"Connecticut","9","2015-2016","Non-High Needs","Total Cohort Count","Number",21665
"Connecticut","9","2016-2017","High Needs","Total Cohort Count","Number",21490
"Connecticut","9","2014-2015","Non-High Needs","Four Year Graduation Count","Number",21319
"Connecticut","9","2015-2016","Non-High Needs","Four Year Graduation Count","Number",21147
"Connecticut","9","2016-2017","Non-High Needs","Total Cohort Count","Number",21018
"Connecticut","9","2015-2016","High Needs","Total Cohort Count","Number",20913
"Connecticut","9","2016-2017","Non-High Needs","Four Year Graduation Count","Number",20573
"Connecticut","9","2014-2015","High Needs","Total Cohort Count","Number",20553
"Connecticut","9","2013-2014","High Needs","Total Cohort Count","Number",20069
"Connecticut","9","2011-2012","High Needs","Total Cohort Count","Number",19842
"Connecticut","9","2012-2013","High Needs","Total Cohort Count","Number",19837
"Connecticut","9","2017-2018","High Needs","Total Cohort Count","Number",19378
"Connecticut","9","2018-2019","Non-High Needs","Total Cohort Count","Number",19177
"Connecticut","9","2018-2019","Non-High Needs","Four Year Graduation Count","Number",18847
"Connecticut","9","2018-2019","High Needs","Four Year Graduation Count","Number",18404
"Connecticut","9","2016-2017","High Needs","Four Year Graduation Count","Number",16791
"Connecticut","9","2015-2016","High Needs","Four Year Graduation Count","Number",16061
"Connecticut","9","2010-2011","High Needs","Total Cohort Count","Number",15886
"Connecticut","9","2014-2015","High Needs","Four Year Graduation Count","Number",15646
"Connecticut","9","2013-2014","High Needs","Four Year Graduation Count","Number",15150
"Connecticut","9","2017-2018","High Needs","Four Year Graduation Count","Number",15092
"Connecticut","9","2012-2013","High Needs","Four Year Graduation Count","Number",14366
"Connecticut","9","2011-2012","High Needs","Four Year Graduation Count","Number",14169
"Connecticut","9","2010-2011","High Needs","Four Year Graduation Count","Number",10315
"Connecticut","9","2011-2012","High Needs","Other Count","Number",3548
"Connecticut","9","2010-2011","High Needs","Other Count","Number",3383
"Connecticut","9","2012-2013","High Needs","Other Count","Number",3267
"Connecticut","9","2014-2015","High Needs","Other Count","Number",3045
"Connecticut","9","2013-2014","High Needs","Other Count","Number",2735
"Connecticut","9","2015-2016","High Needs","Other Count","Number",2661
"Connecticut","9","2018-2019","High Needs","Other Count","Number",2507
"Connecticut","9","2016-2017","High Needs","Other Count","Number",2436
"Connecticut","9","2017-2018","High Needs","Other Count","Number",2426
"Connecticut","9","2016-2017","High Needs","Still Enrolled After Four Years Count","Number",2257
"Connecticut","9","2012-2013","High Needs","Still Enrolled After Four Years Count","Number",2196
"Connecticut","9","2013-2014","High Needs","Still Enrolled After Four Years Count","Number",2182
"Connecticut","9","2010-2011","High Needs","Still Enrolled After Four Years Count","Number",2173
"Connecticut","9","2015-2016","High Needs","Still Enrolled After Four Years Count","Number",2151
"Connecticut","9","2011-2012","High Needs","Still Enrolled After Four Years Count","Number",2120
"Connecticut","9","2018-2019","High Needs","Still Enrolled After Four Years Count","Number",1986
"Connecticut Technical High School System","","2010-2011","Non-High Needs","Total Cohort Count","Number",1857
"Connecticut","9","2014-2015","High Needs","Still Enrolled After Four Years Count","Number",1856
"Connecticut","9","2017-2018","High Needs","Still Enrolled After Four Years Count","Number",1854
"Connecticut Technical High School System","","2010-2011","Non-High Needs","Four Year Graduation Count","Number",1756
"Connecticut Technical High School System","","2018-2019","High Needs","Total Cohort Count","Number",1692
"Connecticut Technical High School System","","2018-2019","High Needs","Four Year Graduation Count","Number",1639
"Connecticut Technical High School System","","2015-2016","High Needs","Total Cohort Count","Number",1627
"Connecticut Technical High School System","","2014-2015","High Needs","Total Cohort Count","Number",1605
"Connecticut Technical High School System","","2015-2016","High Needs","Four Year Graduation Count","Number",1578
"Connecticut Technical High School System","","2016-2017","High Needs","Total Cohort Count","Number",1572
"Connecticut Technical High School System","","2014-2015","High Needs","Four Year Graduation Count","Number",1557
"Connecticut Technical High School System","","2011-2012","High Needs","Total Cohort Count","Number",1546
"Connecticut Technical High School System","","2013-2014","High Needs","Total Cohort Count","Number",1525
"Connecticut Technical High School System","","2016-2017","High Needs","Four Year Graduation Count","Number",1524
"Connecticut","9","2010-2011","Non-High Needs","Other Count","Number",1518
"Connecticut Technical High School System","","2011-2012","High Needs","Four Year Graduation Count","Number",1473
"Hartford School District","900337070","2010-2011","High Needs","Total Cohort Count","Number",1456
"Connecticut Technical High School System","","2013-2014","High Needs","Four Year Graduation Count","Number",1455
"Connecticut Technical High School System","","2012-2013","High Needs","Total Cohort Count","Number",1451
"Bridgeport School District","900108070","2018-2019","High Needs","Total Cohort Count","Number",1434
